dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time

0.25,5,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7821428571428571,0.7368421052631579,0:00:00.400998
0.25,5,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9107142857142857,0.7368421052631579,0:00:00.363894
0.25,5,0.1,16,10,1,adam,relu,mean,0.8157894736842105,0.2222222222222222,0.8214285714285714,0.8872932330827068,0:00:00.414000
0.25,5,0.1,16,10,1,adam,relu,sum,0.7894736842105263,0.20000000000000004,0.8857142857142857,0.8399570354457572,0:00:00.383999
0.25,5,0.1,16,10,1,RMSprop,relu,mean,0.7631578947368421,0.18181818181818182,0.8214285714285714,0.7842333105491,0:00:00.374000
0.25,5,0.1,16,10,1,RMSprop,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:00.364815
0.25,5,0.1,16,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7964285714285715,0.7368421052631579,0:00:01.671035
0.25,5,0.1,16,50,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9160714285714286,0.7368421052631579,0:00:01.661000
0.25,5,0.1,16,50,1,adam,relu,mean,0.7631578947368421,0.18181818181818182,0.7607142857142857,0.7989934513703613,0:00:02.162999
0.25,5,0.1,16,50,1,adam,relu,sum,0.7894736842105263,0.2,0.8732142857142857,0.8070958646616541,0:00:02.128046
0.25,5,0.1,16,50,1,RMSprop,relu,mean,0.7894736842105263,0.3333333333333333,0.8071428571428572,0.7920720919946925,0:00:02.279001
0.25,5,0.1,16,50,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9089285714285714,0.7368421052631579,0:00:01.946063
0.25,5,0.1,16,100,1,SGD,relu,mean,0.7894736842105263,0.2,0.8196428571428571,0.8070958646616541,0:00:03.243560
0.25,5,0.1,16,100,1,SGD,relu,sum,0.7631578947368421,0.30769230769230765,0.8946428571428572,0.7701933404940924,0:00:03.591023
0.25,5,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.16666666666666666,0.7392857142857142,0.7909774436090226,0:00:03.637851
0.25,5,0.1,16,100,1,adam,relu,sum,0.6578947368421053,0.13333333333333336,0.8089285714285714,0.8536045997346307,0:00:03.562001
0.25,5,0.1,16,100,1,RMSprop,relu,mean,0.7631578947368421,0.18181818181818182,0.8071428571428572,0.7989934513703613,0:00:03.478575
0.25,5,0.1,16,100,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9053571428571427,0.7368421052631579,0:00:03.393010
0.25,5,0.1,16,200,1,SGD,relu,mean,0.39473684210526316,0,0,0.7838345864661654,0:00:06.639614
0.25,5,0.1,16,200,1,SGD,relu,sum,0.34210526315789475,0,0,0.7650375939849624,0:00:06.382248
0.25,5,0.1,16,200,1,adam,relu,mean,0.7894736842105263,0.2,0.7428571428571429,0.8582272990167727,0:00:07.482212
0.25,5,0.1,16,200,1,adam,relu,sum,0.7894736842105263,0.33333333333333337,0.9196428571428571,0.7777777777777778,0:00:07.250757
0.25,5,0.1,16,200,1,RMSprop,relu,mean,0.42105263157894735,0,0,0.7932330827067668,0:00:06.884810
0.25,5,0.1,16,200,1,RMSprop,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:06.769961
0.5,5,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.775,0.7368421052631579,0:00:00.355000
0.5,5,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.09107142857142857,0.7368421052631579,0:00:00.351000
0.5,5,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.7,0.7368421052631579,0:00:00.389000
0.5,5,0.1,16,10,1,adam,relu,sum,0.7894736842105263,0.20000000000000004,0.8625,0.8399570354457572,0:00:00.392001
0.5,5,0.1,16,10,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.6107142857142858,0.7368421052631579,0:00:00.378236
0.5,5,0.1,16,10,1,RMSprop,relu,sum,0.7894736842105263,0.19999999999999998,0.8767857142857143,0.924812030075188,0:00:00.371000
0.5,5,0.1,16,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8017857142857143,0.7368421052631579,0:00:01.639917
0.5,5,0.1,16,50,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9089285714285714,0.7368421052631579,0:00:01.650213
0.5,5,0.1,16,50,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.425,0.7368421052631579,0:00:01.834935
0.5,5,0.1,16,50,1,adam,relu,sum,0.7631578947368421,0.30769230769230765,0.8767857142857143,0.7701933404940924,0:00:01.808017
0.5,5,0.1,16,50,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.46607142857142864,0.7368421052631579,0:00:01.726057
0.5,5,0.1,16,50,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9035714285714286,0.7368421052631579,0:00:01.757963
0.5,5,0.1,16,100,1,SGD,relu,mean,0.7631578947368421,0.18181818181818182,0.8196428571428571,0.7842333105491,0:00:03.271175
0.5,5,0.1,16,100,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9125,0.7368421052631579,0:00:03.259025
0.5,5,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.7607142857142858,0.7368421052631579,0:00:03.636900
0.5,5,0.1,16,100,1,adam,relu,sum,0.7631578947368421,0.30769230769230765,0.8875,0.7701933404940924,0:00:03.524607
0.5,5,0.1,16,100,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.4982142857142857,0.7368421052631579,0:00:03.426983
0.5,5,0.1,16,100,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9160714285714286,0.7368421052631579,0:00:03.374548
0.5,5,0.1,16,200,1,SGD,relu,mean,0.39473684210526316,0,0,0.7838345864661654,0:00:06.722006
0.5,5,0.1,16,200,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.17678571428571427,0.7368421052631579,0:00:06.398334
0.5,5,0.1,16,200,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.6607142857142857,0.7368421052631579,0:00:07.264241
0.5,5,0.1,16,200,1,adam,relu,sum,0.7631578947368421,0.30769230769230765,0.8946428571428572,0.7701933404940924,0:00:07.213640
0.5,5,0.1,16,200,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.09642857142857142,0.7368421052631579,0:00:06.841030
0.5,5,0.1,16,200,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9160714285714285,0.7368421052631579,0:00:06.699001
0.75,5,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7732142857142856,0.7368421052631579,0:00:00.352969
0.75,5,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9125000000000001,0.7368421052631579,0:00:00.349001
0.75,5,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.9071428571428571,0.7368421052631579,0:00:00.389001
0.75,5,0.1,16,10,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.8946428571428571,0.7368421052631579,0:00:00.388002
0.75,5,0.1,16,10,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.5660714285714286,0.7368421052631579,0:00:00.376334
0.75,5,0.1,16,10,1,RMSprop,relu,sum,0.7631578947368421,0.30769230769230765,0.9303571428571429,0.7567567567567568,0:00:00.377999
0.75,5,0.1,16,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8053571428571429,0.7368421052631579,0:00:01.664998
0.75,5,0.1,16,50,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9249999999999998,0.7368421052631579,0:00:01.626999
0.75,5,0.1,16,50,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.7464285714285714,0.7368421052631579,0:00:01.825745
0.75,5,0.1,16,50,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.09464285714285714,0.7368421052631579,0:00:01.822987
0.75,5,0.1,16,50,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.5660714285714286,0.7368421052631579,0:00:01.755972
0.75,5,0.1,16,50,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9107142857142858,0.7368421052631579,0:00:01.757000
0.75,5,0.1,16,100,1,SGD,relu,mean,0.7894736842105263,0.33333333333333337,0.8142857142857143,0.7777777777777778,0:00:03.288612
0.75,5,0.1,16,100,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:03.200999
0.75,5,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.07142857142857142,0.7368421052631579,0:00:03.610556
0.75,5,0.1,16,100,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.9053571428571427,0.7368421052631579,0:00:03.685833
0.75,5,0.1,16,100,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.5660714285714286,0.7368421052631579,0:00:03.398001
0.75,5,0.1,16,100,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9125000000000001,0.7368421052631579,0:00:03.417999
0.75,5,0.1,16,200,1,SGD,relu,mean,0.3157894736842105,0,0,0.7556390977443609,0:00:06.527293
0.75,5,0.1,16,200,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:06.404741
0.75,5,0.1,16,200,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.5,0.7368421052631579,0:00:07.193767
0.75,5,0.1,16,200,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.09464285714285715,0.7368421052631579,0:00:07.180312
0.75,5,0.1,16,200,1,RMSprop,relu,mean,0.2631578947368421,0,0,0.7368421052631579,0:00:06.985974
0.75,5,0.1,16,200,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9089285714285714,0.7368421052631579,0:00:06.721863
0.25,5,0.1,32,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7571428571428571,0.7368421052631579,0:00:00.238999
0.25,5,0.1,32,10,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:00.230001
0.25,5,0.1,32,10,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.8339285714285714,0.7368421052631579,0:00:00.251003
0.25,5,0.1,32,10,1,adam,relu,sum,0.8157894736842105,0.2222222222222222,0.8714285714285714,0.8872932330827068,0:00:00.242996
0.25,5,0.1,32,10,1,RMSprop,relu,mean,0.7631578947368421,0.18181818181818182,0.7982142857142858,0.7842333105491,0:00:00.247001
0.25,5,0.1,32,10,1,RMSprop,relu,sum,0.47368421052631576,0.09090909090909091,0.8071428571428572,0.7892857142857144,0:00:00.238002
0.25,5,0.1,32,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8053571428571429,0.7368421052631579,0:00:01.038997
0.25,5,0.1,32,50,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:01.034002
0.25,5,0.1,32,50,1,adam,relu,mean,0.7894736842105263,0.2,0.7839285714285714,0.8070958646616541,0:00:01.141537
0.25,5,0.1,32,50,1,adam,relu,sum,0.7368421052631579,0.16666666666666669,0.8125000000000001,0.881484962406015,0:00:01.202000
0.25,5,0.1,32,50,1,RMSprop,relu,mean,0.7894736842105263,0.20000000000000004,0.8089285714285714,0.8399570354457572,0:00:01.124385
0.25,5,0.1,32,50,1,RMSprop,relu,sum,0.7631578947368421,0.30769230769230765,0.8178571428571428,0.7567567567567568,0:00:01.096116
0.25,5,0.1,32,100,1,SGD,relu,mean,0.7894736842105263,0.33333333333333337,0.8053571428571429,0.7777777777777778,0:00:02.064806
0.25,5,0.1,32,100,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:02.113000
0.25,5,0.1,32,100,1,adam,relu,mean,0.7894736842105263,0.20000000000000004,0.7357142857142858,0.8399570354457572,0:00:02.259891
0.25,5,0.1,32,100,1,adam,relu,sum,0.8157894736842105,0.22222222222222224,0.8321428571428572,0.8486518019185895,0:00:02.229886
0.25,5,0.1,32,100,1,RMSprop,relu,mean,0.7631578947368421,0.30769230769230765,0.8142857142857143,0.7701933404940924,0:00:02.211052
0.25,5,0.1,32,100,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9232142857142857,0.7368421052631579,0:00:02.142999
0.25,5,0.1,32,200,1,SGD,relu,mean,0.7631578947368421,0.1818181818181818,0.8339285714285715,0.8313143971038708,0:00:04.179002
0.25,5,0.1,32,200,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:04.069666
0.25,5,0.1,32,200,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.7392857142857143,0.8313143971038708,0:00:04.536487
0.25,5,0.1,32,200,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.8303571428571429,0.7368421052631579,0:00:04.545764
0.25,5,0.1,32,200,1,RMSprop,relu,mean,0.7631578947368421,0.18181818181818182,0.8178571428571428,0.8689931350114416,0:00:04.315998
0.25,5,0.1,32,200,1,RMSprop,relu,sum,0.7631578947368421,0.30769230769230765,0.8607142857142858,0.8313143971038708,0:00:04.247144
0.5,5,0.1,32,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.75,0.7368421052631579,0:00:00.228999
0.5,5,0.1,32,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9142857142857144,0.7368421052631579,0:00:00.238001
0.5,5,0.1,32,10,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.8339285714285714,0.7368421052631579,0:00:00.250029
0.5,5,0.1,32,10,1,adam,relu,sum,0.8421052631578947,0.25,0.9089285714285715,0.918781328320802,0:00:00.251001
0.5,5,0.1,32,10,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.6160714285714286,0.7368421052631579,0:00:00.244972
0.5,5,0.1,32,10,1,RMSprop,relu,sum,0.8157894736842105,0.36363636363636365,0.8982142857142857,0.8152768284347232,0:00:00.251003
0.5,5,0.1,32,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8071428571428573,0.7368421052631579,0:00:01.083999
0.5,5,0.1,32,50,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9196428571428572,0.7368421052631579,0:00:01.058002
0.5,5,0.1,32,50,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.8160714285714286,0.8146227638060668,0:00:01.133001
0.5,5,0.1,32,50,1,adam,relu,sum,0.7894736842105263,0.20000000000000004,0.8214285714285715,0.8399570354457572,0:00:01.126002
0.5,5,0.1,32,50,1,RMSprop,relu,mean,0.7368421052631579,0.16666666666666666,0.825,0.7764920112781954,0:00:01.092429
0.5,5,0.1,32,50,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9,0.7368421052631579,0:00:01.094001
0.5,5,0.1,32,100,1,SGD,relu,mean,0.7631578947368421,0.30769230769230765,0.8017857142857143,0.7567567567567568,0:00:02.062842
0.5,5,0.1,32,100,1,SGD,relu,sum,0.7631578947368421,0.30769230769230765,0.9160714285714285,0.7567567567567568,0:00:02.061740
0.5,5,0.1,32,100,1,adam,relu,mean,0.7894736842105263,0.2,0.7892857142857143,0.8582272990167727,0:00:02.268999
0.5,5,0.1,32,100,1,adam,relu,sum,0.8157894736842105,0.2222222222222222,0.8035714285714286,0.8314334222653408,0:00:02.224783
0.5,5,0.1,32,100,1,RMSprop,relu,mean,0.7894736842105263,0.3333333333333333,0.8160714285714286,0.7920720919946925,0:00:02.170000
0.5,5,0.1,32,100,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.8875000000000001,0.7368421052631579,0:00:02.173002
0.5,5,0.1,32,200,1,SGD,relu,mean,0.7894736842105263,0.2,0.8303571428571428,0.8582272990167727,0:00:04.228132
0.5,5,0.1,32,200,1,SGD,relu,sum,0.7368421052631579,0.16666666666666666,0.8696428571428572,0.859876965140123,0:00:04.149999
0.5,5,0.1,32,200,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.75,0.8146227638060668,0:00:04.536305
0.5,5,0.1,32,200,1,adam,relu,sum,0.23684210526315788,0,0.6857142857142857,0.7368421052631579,0:00:04.505040
0.5,5,0.1,32,200,1,RMSprop,relu,mean,0.7631578947368421,0.18181818181818182,0.8107142857142857,0.8689931350114416,0:00:04.419999
0.5,5,0.1,32,200,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9089285714285713,0.7368421052631579,0:00:04.343064
0.75,5,0.1,32,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7285714285714285,0.7368421052631579,0:00:00.233998
0.75,5,0.1,32,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.8482142857142858,0.7368421052631579,0:00:00.236507
0.75,5,0.1,32,10,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.8232142857142857,0.7368421052631579,0:00:00.252030
0.75,5,0.1,32,10,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.8964285714285716,0.7368421052631579,0:00:00.255998
0.75,5,0.1,32,10,1,RMSprop,relu,mean,0.7894736842105263,0.2,0.8053571428571429,0.7920720919946925,0:00:00.236998
0.75,5,0.1,32,10,1,RMSprop,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:00.251000
0.75,5,0.1,32,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8053571428571429,0.7368421052631579,0:00:01.038999
0.75,5,0.1,32,50,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.11964285714285713,0.7368421052631579,0:00:01.042002
0.75,5,0.1,32,50,1,adam,relu,mean,0.7368421052631579,0.16666666666666666,0.7732142857142857,0.7627156125608138,0:00:01.134000
0.75,5,0.1,32,50,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.7107142857142857,0.7368421052631579,0:00:01.139000
0.75,5,0.1,32,50,1,RMSprop,relu,mean,0.7894736842105263,0.2,0.8392857142857143,0.8070958646616541,0:00:01.105876
0.75,5,0.1,32,50,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.8732142857142858,0.7368421052631579,0:00:01.084289
0.75,5,0.1,32,100,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8035714285714286,0.7368421052631579,0:00:02.083030
0.75,5,0.1,32,100,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9142857142857143,0.7368421052631579,0:00:02.034608
0.75,5,0.1,32,100,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.7375,0.7368421052631579,0:00:02.270997
0.75,5,0.1,32,100,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.9232142857142858,0.7368421052631579,0:00:02.253030
0.75,5,0.1,32,100,1,RMSprop,relu,mean,0.7368421052631579,0.16666666666666669,0.8178571428571427,0.7495300751879699,0:00:02.198019
0.75,5,0.1,32,100,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.8732142857142857,0.7368421052631579,0:00:02.146700
0.75,5,0.1,32,200,1,SGD,relu,mean,0.7368421052631579,0.16666666666666666,0.8214285714285714,0.8063238453276047,0:00:04.119001
0.75,5,0.1,32,200,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.10535714285714284,0.7368421052631579,0:00:04.036057
0.75,5,0.1,32,200,1,adam,relu,mean,0.7368421052631579,0.16666666666666666,0.7357142857142858,0.7909774436090226,0:00:04.520031
0.75,5,0.1,32,200,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.8785714285714286,0.7368421052631579,0:00:04.458691
