dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time,seed
0.6723880661599518,20,0.0674041593879511,73,11,3,RMSprop,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7410714285714286,0.7368421052631579,0:00:01.109169,100
0.34266410977503753,32,0.0978837546860296,44,31,8,RMSprop,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.55,0.7368421052631579,0:00:01.520736,100
0.7200149098111873,46,0.01836563492049133,74,165,3,adam,tanh,mean,0.7368421052631579,0.8484848484848484,0.7357142857142858,0.7368421052631579,0:00:03.961620,100
0.5494216884642464,18,0.038812401049367895,18,125,7,SGD,sigmoid,sum,0.868421052631579,0.9056603773584906,0.9035714285714286,0.9281203007518796,0:00:11.112823,100
0.5384507497000164,83,0.05860237704747901,135,151,1,SGD,tanh,mean,0.7368421052631579,0.8484848484848484,0.8,0.7368421052631579,0:00:01.982018,100
0.39294784520343234,125,0.08860047605561945,50,172,7,adam,sigmoid,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:06.042291,100
0.3688471043120252,67,0.03824899297543894,40,19,4,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.662528,100
0.5511483288654329,50,0.02123018240999578,143,84,8,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.2571428571428571,0.7368421052631579,0:00:02.397452,100
0.5489868421644604,47,0.010113504734346624,144,149,9,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.9035714285714287,0.8399570354457572,0:00:04.287112,100
0.4475179658791148,104,0.07568055046365302,149,74,5,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:01.587003,100
0.40632014893787155,86,0.026171494263954095,31,97,3,adam,sigmoid,mean,0.7631578947368421,0.8421052631578947,0.8464285714285713,0.8146227638060668,0:00:03.590035,100
0.5551640766046969,91,0.08610221127717745,120,69,7,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:01.780941,100
0.3303722742535408,122,0.021886863453126192,19,185,2,adam,tanh,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:08.463968,100
0.5001779483374325,70,0.001138503288785339,109,146,5,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7357142857142857,0.7368421052631579,0:00:03.163878,100
0.47258831441556914,39,0.09440423267652998,83,27,4,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2642857142857143,0.7368421052631579,0:00:00.540364,100
0.746321118701484,19,0.06678366315043008,149,199,6,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2607142857142857,0.7368421052631579,0:00:04.599046,100
0.5413469075749493,53,0.019777679362302812,150,45,3,adam,tanh,sum,0.7894736842105263,0.8666666666666666,0.8,0.8070958646616541,0:00:00.531542,100
0.5387206864139237,49,0.03281186126887255,57,94,5,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2607142857142857,0.7368421052631579,0:00:02.731141,100
0.6350448864598477,47,0.06584848539393293,114,81,8,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7392857142857143,0.7368421052631579,0:00:02.350045,100
0.7308209518873229,69,0.022608953515087286,37,169,5,SGD,relu,sum,0.6052631578947368,0.6341463414634146,0.9142857142857144,0.8590225563909775,0:00:07.507270,100
